,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
0,Andhra Pradesh,2100,Aircel,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
1,Andhra Pradesh,2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
2,Andhra Pradesh,2100,Idea,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
3,Assam,2100,Aircel,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
4,Assam,2100,BhartiAirtel,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
5,Assam,2100,Reliance Telecom,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
6,Bihar,2100,Aircel,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
7,Bihar,2100,Bharti Airtel,"[[1964.0- 1969.0], [5.0]]",1964.0- 1969.0
8,Bihar,2100,Reliance Telecom,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
9,Bihar,2100,STel,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
10,Delhi,2100,Bharti Airtel,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
11,Delhi,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
12,Delhi,2100,Vodafone,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
13,Gujarat,2100,Idea,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
14,Gujarat,2100,TTSL,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
15,Gujarat,2100,Vodafone,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
16,Haryana,2100,Idea,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
17,Haryana,2100,TTSL,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
18,Haryana,2100,Vodafone,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
19,Himachal Pradesh,2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
