,Service_Area,Band,Company_Name,Frequency-Quantum,Freq_slices
0,Delhi,900,Bharti Airtel,"900.1-906.1,6.0",900.1-906.1
1,Delhi,900,Idea,"890.1-895.1,5.0",890.1-895.1
2,Delhi,900,Vodafone,"895.1-900.1,5.0",895.1-900.1
3,Kolkata,900,Bharti Airtel,"895.1-900.1,909.5-911.5,5.0,2.0",895.1-900.1
4,Kolkata,900,Bharti Airtel,"895.1-900.1,909.5-911.5,5.0,2.0",909.5-911.5
5,Kolkata,900,Vodafone,"890.1-895.1,900.1-902.1,5.0,2.0",890.1-895.1
6,Kolkata,900,Vodafone,"890.1-895.1,900.1-902.1,5.0,2.0",900.1-902.1
7,Mumbai,900,Bharti Airtel,"909.9-914.9,5.0",909.9-914.9
8,Mumbai,900,Vodafone,"890.1-900.1,906.7-907.7,10.0,1.0",890.1-900.1
9,Mumbai,900,Vodafone,"890.1-900.1,906.7-907.7,10.0,1.0",906.7-907.7
10,Andhra Pradesh,1800,Bharti Airtel,"1724.3-1729.3,1734.5-1736.5,1744.7-1745.3,1756.9-1758.1,5.0,2.0,0.6,1.2",1724.3-1729.3
11,Andhra Pradesh,1800,Bharti Airtel,"1724.3-1729.3,1734.5-1736.5,1744.7-1745.3,1756.9-1758.1,5.0,2.0,0.6,1.2",1734.5-1736.5
12,Andhra Pradesh,1800,Bharti Airtel,"1724.3-1729.3,1734.5-1736.5,1744.7-1745.3,1756.9-1758.1,5.0,2.0,0.6,1.2",1744.7-1745.3
13,Andhra Pradesh,1800,Bharti Airtel,"1724.3-1729.3,1734.5-1736.5,1744.7-1745.3,1756.9-1758.1,5.0,2.0,0.6,1.2",1756.9-1758.1
14,Andhra Pradesh,1800,Idea,"1729.3-1734.3,1743.7-1744.5,5.0,0.8",1729.3-1734.3
15,Andhra Pradesh,1800,Idea,"1729.3-1734.3,1743.7-1744.5,5.0,0.8",1743.7-1744.5
16,Andhra Pradesh,1800,Reliance Jio,"1742.9-1743.7,1751.7-1756.7,0.8,5.0",1742.9-1743.7
17,Andhra Pradesh,1800,Reliance Jio,"1742.9-1743.7,1751.7-1756.7,0.8,5.0",1751.7-1756.7
18,Andhra Pradesh,1800,Telewings,"1741.5-1742.9,1.4",1741.5-1742.9
19,Andhra Pradesh,1800,Vodafone,"1740.9-1741.5,0.6",1740.9-1741.5
20,Assam,1800,Reliance Jio,"1722.5-1727.5,1749.5-1749.9,5.0,0.4",1722.5-1727.5
21,Assam,1800,Reliance Jio,"1722.5-1727.5,1749.5-1749.9,5.0,0.4",1749.5-1749.9
22,Assam,1800,Telewings,"1741.7-1742.9,1749.1-1749.5,1758.7-1760.9,1762.7-1764.9,1.2,0.4,2.2,2.2",1741.7-1742.9
23,Assam,1800,Telewings,"1741.7-1742.9,1749.1-1749.5,1758.7-1760.9,1762.7-1764.9,1.2,0.4,2.2,2.2",1749.1-1749.5
