Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
Delhi,2100,3316.93,Vodafone,1959,1964,2149,2154
Delhi,2100,3316.93,Bharti Airtel,1969,1974,2159,2164
Delhi,2100,3316.93,Reliance Telecom,1974,1979,2164,2169
Mumbai,2100,3247.07,Reliance Telecom,1959,1964,2149,2154
Mumbai,2100,3247.07,Vodafone,1969,1974,2159,2164
Mumbai,2100,3247.07,Bharti Airtel,1974,1979,2164,2169
Maharashtra,2100,1257.82,TTSL,1959,1964,2149,2154
Maharashtra,2100,1257.82,Idea,1969,1974,2159,2164
Maharashtra,2100,1257.82,Vodafone,1974,1979,2164,2169
Gujarat,2100,1076.06,TTSL,1959,1964,2149,2154
Gujarat,2100,1076.06,Vodafone,1969,1974,2159,2164
Gujarat,2100,1076.06,Idea,1974,1979,2164,2169
Andhra Pradesh,2100,1373.14,Bharti Airtel,1959,1964,2149,2154
Andhra Pradesh,2100,1373.14,Idea,1969,1974,2159,2164
Andhra Pradesh,2100,1373.14,Aircel,1974,1979,2164,2169
Karnataka,2100,1579.91,TTSL,1959,1964,2149,2154
Karnataka,2100,1579.91,Aircel,1969,1974,2159,2164
Karnataka,2100,1579.91,Bharti Airtel,1974,1979,2164,2169
Tamil Nadu,2100,1464.94,Bharti Airtel,1959,1964,2149,2154
Tamil Nadu,2100,1464.94,Vodafone,1969,1974,2159,2164
Tamil Nadu,2100,1464.94,Aircel,1974,1979,2164,2169
Kolkata,2100,544.26,Vodafone,1959,1964,2149,2154
Kolkata,2100,544.26,Aircel,1969,1974,2159,2164
Kolkata,2100,544.26,Reliance Telecom,1974,1979,2164,2169
Kerala,2100,312.48,Idea,1959,1964,2149,2154
Kerala,2100,312.48,TTSL,1969,1974,2159,2164
Kerala,2100,312.48,Aircel,1974,1979,2164,2169
Punjab,2100,322.01,Idea,1959,1964,2149,2154
Punjab,2100,322.01,Reliance Telecom,1964,1969,2154,2159
Punjab,2100,322.01,TTSL,1969,1974,2159,2164
Punjab,2100,322.01,Aircel,1974,1979,2164,2169
Haryana,2100,222.58,Idea,1959,1964,2149,2154
Haryana,2100,222.58,TTSL,1969,1974,2159,2164
Haryana,2100,222.58,Vodafone,1974,1979,2164,2169
Uttar Pradesh (E),2100,364.57,Aircel,1959,1964,2149,2154
Uttar Pradesh (E),2100,364.57,Idea,1969,1974,2159,2164
Uttar Pradesh (E),2100,364.57,Vodafone,1974,1979,2164,2169
Uttar Pradesh (W),2100,514.04,Bharti Airtel,1959,1964,2149,2154
Uttar Pradesh (W),2100,514.04,Idea,1969,1974,2159,2164
Uttar Pradesh (W),2100,514.04,TTSL,1974,1979,2164,2169
Rajasthan,2100,321.03,Reliance Telecom,1959,1964,2149,2154
Rajasthan,2100,321.03,Bharti Airtel,1969,1974,2159,2164
Rajasthan,2100,321.03,TTSL,1974,1979,2164,2169
