Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,"Downlink_Start","Downlink_Stop"
Delhi,800,450.49,SSTL,840.975,842.205,885.975,887.205
,,,SSTL,842.205,843.435,887.205,888.435
,,,SSTL,828.405,829.635,873.405,874.635
Gujarat,800,146.15,SSTL,827.175,828.405,872.175,873.405
,,,SSTL,828.405,829.635,873.405,874.635
,,,SSTL,835.455,836.685,880.455,881.685
Karnataka,800,214.58,SSTL,840.975,842.205,885.975,887.205
,,,SSTL,842.205,843.435,887.205,888.435
,,,SSTL,828.405,829.635,873.405,874.635
Kerala,800,42.45,SSTL,840.975,842.205,885.975,887.205
,,,SSTL,842.205,843.435,887.205,888.435
,,,SSTL,828.405,829.635,873.405,874.635
Kolkata,800,73.92,SSTL,834.555,835.785,879.555,880.785
,,,SSTL,835.785,837.015,880.785,882.015
,,,SSTL,831.465,832.695,876.465,877.695
Tamil Nadu,800,198.96,SSTL,840.975,842.205,885.975,887.205
,,,SSTL,842.205,843.435,887.205,888.435
,,,SSTL,828.405,829.635,873.405,874.635
"Uttar Pradesh (W)",800,69.82,SSTL,840.975,842.205,885.975,887.205
,,,SSTL,842.205,843.435,887.205,888.435
,,,SSTL,828.405,829.635,873.405,874.635
West Bengal,800,16.79,SSTL,835.155,836.385,880.155,881.385
,,,SSTL,836.385,837.615,881.385,882.615
,,,SSTL,831.165,832.395,876.165,877.395
