Service_Area,Band,Company_Name,Frequency-Quantum
Delhi,900,Bharti Airtel,"[[900.1- 906.1],[6.0]]"
Delhi,900,Idea,"[[890.1- 895.1],[5.0]]"
Delhi,900,Vodafone,"[[895.1- 900.1],[5.0]]"
Kolkata,900,Bharti Airtel,"[[895.1- 900.1, 909.5- 911.5],[5.0, 2.0]]"
Kolkata,900,Vodafone,"[[890.1- 895.1, 900.1- 902.1],[5.0, 2.0]]"
Mumbai,900,Bharti Airtel,"[[909.9- 914.9],[5.0]]"
Mumbai,900,Vodafone,"[[890.1- 900.1,906.7- 907.7],[10.0, 1.0]]"
Andhra Pradesh,1800,Bharti Airtel,"[[1724.3- 1729.3, 1734.5- 1736.5, 1744.7- 1745.3, 1756.9- 1758.1],[5.0, 2.0, 0.6, 1.2]]"
Andhra Pradesh,1800,Idea,"[[1729.3- 1734.3, 1743.7- 1744.5],[5.0, 0.8]]"
Andhra Pradesh,1800,Reliance Jio,"[[1742.9- 1743.7, 1751.7- 1756.7],[0.8, 5.0]]"
Andhra Pradesh,1800,Telewings,"[[1741.5- 1742.9],[1.4]]"
Andhra Pradesh,1800,Vodafone,"[[1740.9- 1741.5],[0.6]]"
Assam,1800,Reliance Jio,"[[1722.5- 1727.5, 1749.5- 1749.9],[5.0, 0.4]]"
Assam,1800,Telewings,"[[1741.7- 1742.9, 1749.1- 1749.5, 1758.7- 1760.9, 1762.7- 1764.9],[1.2, 0.4, 2.2, 2.2]]"
Bihar,1800,Telewings,"[[1747.5- 1748.9,1760.7- 1761.5],[1.4, 0.8]]"
Delhi,1800,Bharti Airtel,"[[1719.7- 1720.1, 1730.5- 1731.5, 1745.7- 1746.3, 1753.3, 1758.3],[0.4, 1.0, 0.6, 5.0]]"
Delhi,1800,Idea,"[[1710.1- 1710.7],[0.6]]"
Delhi,1800,Reliance Jio,"[[1723.1- 1728.1, 1746.3- 1746.7],[5.0, 0.4]]"
Delhi,1800,Vodafone,"[[1710.7- 1712.1, 1718.1- 1719.7, 1758.3- 1763.3],[1.4, 1.6, 5.0]]"
Gujarat,1800,Idea,"[[1721.1- 1722.7],[1.6]]"
