Service_Area,Band,Company_Name,"Frequency, Quantum"
AP,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Assam,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Bihar,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Delhi,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Gujarat,700,Jio,"[[(723.0- 733.0)], [10.0]]"
HP,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Haryana,700,Jio,"[[(723.0- 733.0)], [10.0]]"
J&K,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Karnataka,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Kerala,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Kolkata,700,Jio,"[[(723.0- 733.0)], [10.0]]"
MP,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Maharashtra,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Mumbai,700,Jio,"[[(723.0- 733.0)], [10.0]]"
NE,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Odisha,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Punjab,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Rajasthan,700,Jio,"[[(723.0- 733.0)], [10.0]]"
TN,700,Jio,"[[(723.0- 733.0)], [10.0]]"
UP(East),700,Jio,"[[(723.0- 733.0)], [10.0]]"
UP(West),700,Jio,"[[(723.0- 733.0)], [10.0]]"
WB,700,Jio,"[[(723.0- 733.0)], [10.0]]"
Assam,800,Jio,"[[(834.0- 839.0)], [5.0]]"
J&K,800,Jio,"[[(834.0- 839.0)], [5.0]]"
NE,800,Jio,"[[(834.0- 839.0)], [5.0]]"
UP(West),800,Jio,"[[(836.5- 841.5)], [5.0]]"
Assam,900,Airtel,"[[(903.1- 905.7)- (912.1- 913.3)], [2.6, 1.2]]"
J&K,900,Airtel,"[[(901.9- 906.9)], [5.0]]"
NE,900,Airtel,"[[(904.5- 907.1)- (913.5- 914.9)], [2.6, 1.4]]"
AP,1800,Vodafone,"[[(1748.1- 1751.5)], [3.4]]"
Gujarat,1800,Jio,"[[(1750.9- 1760.9)], [10.0]]"
HP,1800,Airtel,"[[(1746.7- 1751.7)], [5.0]]"
Kolkata,1800,Airtel,"[[(1745.1- 1750.1)], [5.0]]"
MP,1800,Jio,"[[(1753.7- 1763.7)], [10.0]]"
Maharashtra,1800,Airtel,"[[(1757.5- 1762.5)], [5.0]]"
Maharashtra,1800,Jio,"[[(1747.5- 1757.5)], [10.0]]"
Mumbai,1800,Airtel,"[[(1764.9- 1768.9)], [4.0]]"
Odisha,1800,Airtel,"[[(1755.9- 1756.1)- (1774.9- 1779.9)], [0.2, 5.0]]"
Odisha,1800,Jio,"[[(1764.9- 1774.9)], [10.0]]"
Rajasthan,1800,Jio,"[[(1748.1- 1753.1)- (1758.7- 1763.7)], [5.0, 5.0]]"
UP(East),1800,Airtel,"[[(1745.1- 1745.3)- (1752.5- 1753.1)], [0.2, 0.6]]"
UP(East),1800,Jio,"[[(1747.1- 1749.1)- (1751.9- 1752.5)- (1757.5- 1764.9)], [2.0, 0.6, 7.4]]"
Bihar,2100,Airtel,"[[(1954.0- 1959.0)], [5.0]]"
Delhi,2100,Airtel,"[[(1949.0- 1954.0)], [5.0]]"
Gujarat,2100,Airtel,"[[(1939.0- 1944.0)], [5.0]]"
Haryana,2100,Airtel,"[[(1974.0- 1979.0)], [5.0]]"
Karnataka,2100,Vodafone,"[[(1949.0- 1954.0)], [5.0]]"
Kerala,2100,Airtel,"[[(1949.0- 1954.0)], [5.0]]"
WB,2100,Airtel,"[[(1959.0- 1964.0)], [5.0]]"
AP,2500,Vodafone,"[[(2535.0- 2545.0)], [10.0]]"
Punjab,2500,Vodafone,"[[(2545.0- 2555.0)], [10.0]]"
AP,3300,Airtel,"[[(3400.0- 3500.0)], [100.0]]"
AP,3300,Jio,"[[(3500.0- 3600.0)], [100.0]]"
