Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,Downlink_Start,Downlink_Stop
Andhra Pradesh,900,57.6,Vodafone,908.3,908.5,953.3,953.5
,,,,908.1,908.3,953.1,953.3
,,,,907.9,908.1,952.9,953.1
,,,,907.7,907.9,952.7,952.9
,,,,907.5,907.7,952.5,952.7
,,,,907.3,907.5,952.3,952.5
,,,,907.1,907.3,952.1,952.3
,,,,906.9,907.1,951.9,952.1
,,,,906.7,906.9,951.7,951.9
,,,,906.5,906.7,951.5,951.7
,,,,906.3,906.5,951.3,951.5
,,,,906.1,906.3,951.1,951.3
Assam,900,12.6,Bharti Airtel,896.1,896.3,941.1,941.3
,,,,895.9,896.1,940.9,941.1
,,,,895.7,895.9,940.7,940.9
,,,,895.5,895.7,940.5,940.7
,,,,895.3,895.5,940.3,940.5
,,,,895.1,895.3,940.1,940.3
,,,,894.9,895.1,939.9,940.1
,,,,894.7,894.9,939.7,939.9
,,,,894.5,894.7,939.5,939.7
,,,,894.3,894.5,939.3,939.5
,,,,894.1,894.3,939.1,939.3
,,,,893.9,894.1,938.9,939.1
,,,,893.7,893.9,938.7,938.9
,,,,893.5,893.7,938.5,938.7
,,,,893.3,893.5,938.3,938.5
,,,,893.1,893.3,938.1,938.3
,,,,892.9,893.1,937.9,938.1
,,,,892.7,892.9,937.7,937.9
,,,,892.5,892.7,937.5,937.7
,,,,892.3,892.5,937.3,937.5
,,,,892.1,892.3,937.1,937.3
,,,,891.9,892.1,936.9,937.1
,,,,891.7,891.9,936.7,936.9
,,,,891.5,891.7,936.5,936.7
,,,,891.3,891.5,936.3,936.5
Bihar,900,29.4,Bharti Airtel,901.7,901.9,946.7,946.9
,,,,901.5,901.7,946.5,946.7
,,,,901.3,901.5,946.3,946.5
,,,,901.1,901.3,946.1,946.3
,,,,900.9,901.1,945.9,946.1
,,,,900.7,900.9,945.7,945.9
,,,,900.5,900.7,945.5,945.7
,,,,900.3,900.5,945.3,945.5
,,,,900.1,900.3,945.1,945.3
,,,,899.9,900.1,944.9,945.1
,,,,899.7,899.9,944.7,944.9
,,,,899.5,899.7,944.5,944.7
,,,,899.3,899.5,944.3,944.5
,,,,899.1,899.3,944.1,944.3
,,,,898.9,899.1,943.9,944.1
,,,,898.7,898.9,943.7,943.9
,,,,898.5,898.7,943.5,943.7
,,,,898.3,898.5,943.3,943.5
,,,,898.1,898.3,943.1,943.3
,,,,897.9,898.1,942.9,943.1
,,,,897.7,897.9,942.7,942.9
,,,,897.5,897.7,942.5,942.7
,,,,897.3,897.5,942.3,942.5
,,,,897.1,897.3,942.1,942.3
,,,,896.9,897.1,941.9,942.1
,,,,896.7,896.9,941.7,941.9
,,,,896.5,896.7,941.5,941.7
,,,,896.3,896.5,941.3,941.5
,,,,896.1,896.3,941.1,941.3
